계,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원,비고,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
59,특정계층이용시설,회원이용시설,두산아파트제2경로당,"서울특별시 동대문구 답십리로56길 21-1 (답십리동, 두산아파트)",서울특별시 동대문구 답십리동 990-1,100.5,30,,127.0593631,37.5689747,205244.3765,552161.1223
60,공공시설,공공청사,답십리2동주민센터,서울특별시 동대문구 한천로11길 18,서울특별시 동대문구 답십리동 10-2,60,18,,127.061209,37.567312,205407.571,551976.6867
61,특정계층이용시설,회원이용시설,장수경로당(신부파스카아파트),서울특별시 동대문구 장한로12길 35 (신부파스카아파트 501동 501동),서울특별시 동대문구 장안동 563,,,,127.069963,37.565518,206181.1003,551778.1134
62,특정계층이용시설,회원이용시설,삼성쉐르빌아파트경로당,서울특별시 동대문구 장한로 119 (장안삼성쉐르빌),서울특별시 동대문구 장안동 371-1,,,,127.06986,37.571671,206171.4928,552461.0179
63,특정계층이용시설,회원이용시설,신일해피트리2차아파트경로당,서울특별시 동대문구 천호대로77가길 27 (신일해피트리노인정),서울특별시 동대문구 장안동 567,,,,127.063783,37.563732,205635.2433,551579.4998
64,공공시설,공공청사,장안1동주민센터,서울특별시 동대문구 한천로18길 52 (장안1동주민센터),서울특별시 동대문구 장안동 395-3,348,30,,127.066506,37.567807,205875.501,552031.9439
65,특정계층이용시설,회원이용시설,샛별경로당,서울특별시 동대문구 장한로17길 20,서울특별시 동대문구 장안동 379,140.04,42,,127.067435,37.568065,205957.5534,552060.6373
66,특정계층이용시설,회원이용시설,안골경로당,서울특별시 동대문구 천호대로77다길 20,서울특별시 동대문구 장안동 402,155.6,47,,127.064346,37.565401,205684.8577,551764.7731
67,특정계층이용시설,회원이용시설,미나리경로당,서울특별시 동대문구 천호대로87길 43,서울특별시 동대문구 장안동 449,240.57,72,,127.06794,37.563674,206002.52,551573.3199
68,특정계층이용시설,기타,장안종합사회복지관,서울특별시 동대문구 한천로18길 48,서울특별시 동대문구 장안동 395-2,"1,998.40",25,,127.0661585,37.5679618,205844.7889,552049.1032
